 Net Value Growth Rate, Net Income to Stockholder's Equity, Borrowing dependency, Persistent EPS in the Last Four Seasons, Total debt/Total net worth, Equity to Liability, Retained Earnings to Total Assets, Net Value Per Share (B), Non-industry income and expenditure/revenue, ROA(C) before interest and depreciation before interest, Interest Expense Ratio, Debt ratio %, Quick Ratio, Interest Coverage Ratio (Interest expense to EBIT), Cash/Total Assets, Degree of Financial Leverage (DFL), Interest-bearing debt interest rate, Cash/Current Liability, Total income/Total expense, Total Asset Return Growth Rate Ratio, Pre-tax net Interest Rate, Working Capital/Equity, Accounts Receivable Turnover, Fixed Assets Turnover Frequency, Working Capital to Total Assets, Inventory/Working Capital, Working capitcal Turnover Rate, Operating profit per person, Total assets to GNP price, Equity to Long-term Liability, No-credit Interval, Average Collection Days, ROA(A) before interest and % after tax, Current Ratio, Current Asset Turnover Rate, Operating Profit Per Share (Yuan ¥), Current Liabilities/Equity, Cash Turnover Rate, Operating Expense Rate, Total Asset Growth Rate, Revenue Per Share (Yuan ¥), Operating Profit Rate, Quick Asset Turnover Rate, Allocation rate per person, Continuous Net Profit Growth Rate, Total expense/Assets, Inventory and accounts receivable/Net value, Revenue per person, Operating Profit Growth Rate, Cash Flow Per Share
0.000426495,0.838868677,0.372957594,0.20487851,0.005869103,0.032463577,0.927051004,0.178753529,0.303488755,0.450397309,0.630234175,0.115609033,0.005754928,0.565144055,0.069737919,0.026788158,0.000414041,0.007309909,0.002077176,0.263435671,0.797293037,0.733788068,0.002140546,0.000162647,0.778115712,0.277531686,0.59393539,0.389091156,0.004919312,0.117688423,0.623633775,0.002953671,0.504034017,0.00975036,6500000000.0,0.087615015,0.328358814,5450000000.0,8010000000.0,6720000000.0,0.029432672,0.998905537,3880000000.0,0.012668676,0.217462057,0.017202295,0.398019622,0.015463478,0.847242468,0.318455118
0.000503779,0.841868914,0.370860668,0.235605559,0.005874575,0.032441724,0.950851955,0.200412962,0.303552563,0.530005362,0.630654717,0.115669498,0.008709436,0.565204691,0.064894254,0.026800956,0.000140014,0.003394063,0.002451375,0.264237592,0.797512168,0.737243657,0.000566078,0.000285956,0.829014393,0.277235316,0.593966554,0.398928111,0.00596763,0.112923874,0.624171281,0.011177669,0.572884867,0.011341618,0.0001481,0.116602883,0.330566645,4450000000.0,0.000102454,6770000000.0,0.047158825,0.999058059,0.000119948,0.00898356,0.217617934,0.01852312,0.405505993,0.021547229,0.848120646,0.324503077
0.000511715,0.843294303,0.373689002,0.253852699,0.005718637,0.033033744,0.947981568,0.203278412,0.303581809,0.571150002,0.630710881,0.113795084,0.012983367,0.565275723,0.144189864,0.026816349,0.000260026,0.011948707,0.002631541,0.264722475,0.797653829,0.738008546,0.000655352,0.000248888,0.841219246,0.27712133,0.59399638,0.403790054,0.006022085,0.11970574,0.625305623,0.009657711,0.620148277,0.01583084,0.00017919,0.128654018,0.328913216,0.000134516,0.000105923,9670000000.0,0.035588427,0.999162514,0.000157258,0.010413675,0.217619865,0.018362538,0.401852569,0.017637296,0.848113882,0.332708495
0.000482019,0.841891305,0.399979422,0.227474709,0.025663192,0.015405672,0.933711203,0.179217058,0.303505674,0.48340077,0.631990658,0.218943677,0.000698077,0.566189747,0.049627671,0.027063119,0.000268027,0.001372235,0.002403215,0.264386787,0.797458077,0.742511443,0.002416483,0.000782219,0.818119495,0.278599256,0.59399578,0.407543927,0.00217696,0.124182006,0.621609919,0.002616377,0.556694287,0.008397478,0.000403094,0.110251608,0.345391307,6160000000.0,7530000000.0,0.000108475,0.043090279,0.999035412,2660000000.0,0.010340089,0.217952641,0.010379019,0.435777033,0.062647063,0.849000731,0.25963783
0.000424699,0.840313219,0.372080799,0.234376477,0.007031799,0.028857869,0.933201617,0.194766339,0.303468452,0.510359284,0.631458816,0.128609003,0.008378801,0.565548925,0.275644299,0.02687994,0.000409041,0.011759865,0.00224621,0.263489288,0.797405508,0.736222295,0.001444615,0.002158288,0.809457441,0.277039043,0.593934807,0.407396938,0.001124064,0.110933234,0.623992713,0.004379699,0.537287396,0.009247397,7010000000.0,0.115625763,0.331974497,981000000.0,6270000000.0,5590000000.0,0.090339852,0.999009183,7560000000.0,0.005093819,0.217590601,0.034974687,0.399742505,0.095415889,0.847995231,0.319445427
0.000632668,0.843722636,0.374047996,0.286470644,0.009487593,0.024103248,0.954352652,0.251401121,0.303809972,0.546043972,0.630840331,0.150799649,0.008920918,0.565472731,0.039790091,0.026861466,0.000473047,0.001876815,0.0030141,0.265075258,0.797579955,0.736202503,0.00089071,0.003102397,0.801489165,0.276977594,0.593954664,0.409126885,0.003545569,0.119737457,0.624558678,0.007100253,0.617804187,0.009102624,0.000158532,0.107157398,0.332212354,3240000000.0,4310000000.0,0.000116426,0.082596004,0.998991619,0.00017177,0.006828284,0.217663289,0.00849879,0.401456011,0.165941571,0.850147398,0.313043786
0.000446085,0.840085104,0.381240172,0.214900255,0.014823225,0.019155337,0.931492791,0.179469892,0.30354362,0.465070931,0.649043849,0.183420504,0.001752992,0.568791144,0.039685347,0.029521363,0.000743074,0.001342597,0.002246091,0.264142015,0.797392642,0.737743394,0.000462601,0.000152813,0.804444652,0.278126155,0.59406023,0.392279686,0.054012581,0.113807976,0.6133229,0.013697554,0.53368949,0.00833882,0.000747781,0.095269115,0.336999105,0.000110772,2460000000.0,5670000000.0,0.013279489,0.998962386,0.000278754,0.046430298,0.217629684,0.00393624,0.412982987,0.056372369,0.848157279,0.319303954
0.000440295,0.840084566,0.374145293,0.214805711,0.005825331,0.032626481,0.931564141,0.174918882,0.303359446,0.476332082,0.633985836,0.115095081,0.004307618,0.569914995,0.019118704,0.044600359,0.000291029,0.001146843,0.002234685,0.263572433,0.79738116,0.732271932,0.00048492,9460000000.0,0.755785896,0.279027469,0.593922377,0.393444291,0.000551827,0.114063672,0.623563475,0.013047729,0.534507196,0.006356922,0.000166572,0.10039899,0.329989813,2920000000.0,0.000177965,6380000000.0,0.013914727,0.999040842,0.000131303,0.0077829,0.217562836,0.02111899,0.39918786,0.005640174,0.847985702,0.324043291
0.000464351,0.841335501,0.373070548,0.2312565,0.003776252,0.044359183,0.93813288,0.210147065,0.303536128,0.514113002,0.630816016,0.086343985,0.006555315,0.565411119,0.037732651,0.026846957,0.000179018,0.002954306,0.002517348,0.264218166,0.797617722,0.733675796,0.000710134,870000000.0,0.780637746,0.277360076,0.59396447,0.399029873,0.00306821,0.113672571,0.624210291,0.008906271,0.566779328,0.009045214,0.000203593,0.111717287,0.328696064,6460000000.0,0.000131016,6880000000.0,0.01836139,0.999153963,0.000160733,0.016982847,0.217602709,0.011735276,0.397761055,0.011010091,0.848062968,0.333274386
0.00051129,0.841468394,0.369637181,0.236172828,0.001596768,0.087299894,0.949215058,0.229109603,0.303539028,0.522741676,0.630612252,0.043837107,0.029554441,0.565158396,0.371260615,0.026791157,0.0,0.04023052,0.002339987,0.264159887,0.797524895,0.741402519,0.000951579,0.002943533,0.945411246,0.27704118,0.594089678,0.401562606,0.002259175,0.110933234,0.624265638,0.006645974,0.579535543,0.033727196,0.000297053,0.113590099,0.327686668,0.000344965,0.000303083,8130000000.0,0.034484323,0.99907516,0.000281787,0.000956828,0.217600088,0.040591001,0.397518565,0.025245656,0.848040875,0.3413737
0.000441892,0.840101288,0.373851164,0.214616621,0.003958635,0.04284071,0.937875415,0.176351608,0.303523559,0.474918344,0.632849208,0.089246304,0.004084283,0.569733495,0.032718875,0.037216642,0.000140014,0.001922046,0.002242013,0.263898796,0.797381021,0.734310506,0.001809826,8250000000.0,0.790928956,0.277786062,0.593975075,0.391985708,0.003257345,0.111618064,0.623102722,0.003492488,0.53368949,0.009063934,0.00024893,0.095269115,0.329586734,5060000000.0,0.000140961,6360000000.0,0.012402257,0.99896227,0.000117296,0.013555285,0.217566493,0.013041646,0.399178482,0.008895025,0.847934694,0.319162481
0.000422004,0.838903365,0.376006245,0.206296681,0.005763321,0.032862358,0.928632968,0.170199317,0.303453467,0.442499878,0.630023904,0.114339269,0.008200383,0.564334789,0.009646615,0.026642694,0.000287029,0.000725298,0.002143165,0.263226644,0.797298294,0.735712128,0.001294472,0.00071716,0.80686766,0.27700576,0.593960264,0.38703331,0.009172737,0.11880928,0.624087282,0.004887775,0.507195813,0.011515721,0.00012597,0.091604918,0.32920328,809000000.0,0.000125813,7010000000.0,0.022853427,0.998926797,0.000133714,0.006969074,0.217520676,0.029600597,0.397128706,0.043526284,0.847802044,0.311381481
0.000518876,0.842947903,0.373741565,0.248085468,0.006384337,0.030706404,0.948296672,0.20129788,0.303647309,0.54170526,0.630896837,0.121625299,0.007250897,0.565515314,0.038440057,0.026871717,0.000523052,0.00164453,0.002681175,0.264523549,0.797511891,0.734570129,0.000748684,0.009751256,0.788350764,0.277140823,0.593933318,0.413491328,0.00207009,0.110933234,0.623985569,0.008447722,0.608046228,0.008069242,924000000.0,0.111065874,0.331728108,1970000000.0,4580000000.0,9310000000.0,0.065777334,0.999012418,9340000000.0,0.001696566,0.217618488,0.013980394,0.404671346,0.124733046,0.848047557,0.321249204
